"Клиент","Дата","Критерий","Парам. №1","Парам. №2","Переходы (%)","Показы (%)"
"Rusfic_Alphavit_WM_pp","2021-01-01","age","1-18","",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-01","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-01","age","21-24","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-01","age","24-27","",8,9.2
"Rusfic_Alphavit_WM_pp","2021-01-01","age","27-30","",21.3,15.1
"Rusfic_Alphavit_WM_pp","2021-01-01","age","30-35","",34.6,32.7
"Rusfic_Alphavit_WM_pp","2021-01-01","age","35-45","",22.6,30.2
"Rusfic_Alphavit_WM_pp","2021-01-01","age","45+","",12,9.7
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Москва","",6.6,5.9
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Санкт-Петербург","",4,5.4
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Новосибирск","",0,2.2
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Казань","",1.3,2
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Пермь","",2.6,1.8
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Нижний Новгород","",1.3,1.7
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Челябинск","",5.3,1.5
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Екатеринбург","",0,1.5
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Уфа","",2.6,1.4
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Красноярск","",0,1.4
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Краснодар","",1.3,1.2
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Воронеж","",0,1.2
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Самара","",2.6,1.2
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Ростов-на-Дону","",0,1.1
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Петрозаводск","",2.6,0.9
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Омск","",0,0.9
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Архангельск","",2.6,0.7
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Ярославль","",1.3,0.7
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Тюмень","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-01","cities","Ижевск","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-01","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-01","gender_age","Ж","1-18",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-01","gender_age","Ж","18-21",0,0
