fg,region,population,gdp_per_capita,hdi,capital,gdp,gdp_per_capita_decile_rank
0,"USA: New York, New Jersey",28335751,81615,943,,2312622317865,19
1,USA: California,39512223,74205,930,,2932004507715,19
2,USA: New England,14810001,74000,945,,1095940074000,19
3,"USA: Washington, Alaska, Oregon",12564175,68342,937,,858660847850,19
4,"USA: Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia",30849848,65823,920,,2030629544904,19
5,"USA: Illinois, Minnesota, Iowa, Wisconsin",27288957,63852,933,,1742454482364,19
6,"Scandinavia: Norway ,Iceland ,Denmark ,Sweden ,Finland",26942526,60393,938,,1627139972718,19
7,Germany: Southern,23297000,55677,950,,1297107069000,18
8,"Germany: Central, Northern",23132000,47690,940,,1103165080000,17
9,Germany: Western,22907803,45674,940,,1046290994222,17
10,"Switzerland, Ireland, Luxembourg",13948546,82342,945,,1148551174732,19
11,France: Île-de-France,12117132,64305,937,,779192173260,19
12,Netherlands,17059560,52978,933,,903781369680,18
13,Austria,8891388,51513,914,,458022070044,18
14,Belgium,11482178,46556,919,,534564278968,17
15,"UK: London, South East Eng",18041706,57532,948,,1037975429592,18
16,Australia + New Zealand,29641283,54850,933,,1625824372550,18
17,Canada,37074562,46125,922,,1710064172250,17
18,"UK: West Midlands, East Midlands, East of England",16906120,36213,900,,612221323560,16
19,"UK: Scotland, Northern Ireland, Wales, South West Eng",16058107,35877,900,,576116704839,16
20,"UK: North East, North West, Yorkshire",15429617,34695,900,,535330561815,16
21,"Aravia Mini Oil States exc. Saudi Arabia: Oman, Bahrain, Kuwait, United Arab Emirates, Qatar",22948872,37689,866,,864920036808,16
22,"Hong Kong, Singapore, Macau",13760865,57083,937,,785511456795,18
23,Israel,8381516,41614,906,,348788406824,17
24,USA: Texas,28995881,61167,909,,1773591053127,19
25,"USA: South Dakota, North Dakota, Wyoming, Montana, Idaho, Nebraska, Utah, Nevada, Colorado, Kansas, Arizona, New Mexico, Oklahoma",35311412,54594,925,,1927791226728,18
26,"USA: Ohio, Indiana, Michigan, Kentucky",32875849,54276,910,,1784369580324,18
27,"USA: Georgia, North Carolina, South Carolina",26254221,53207,900,,1396908336747,18
28,"USA: Tennessee, Louisiana, Arkansas, Missouri, Alabama, Mississippi",28516555,49015,885,,1397738943325,18
29,"USA: Florida, Hawaii, Puerto Rico",25933205,47226,910,,1224721539330,17
30,Japan: Kantō,43200000,44904,930,,1939852800000,17
31,Japan: Chūbu,21400000,42298,915,,905177200000,17
32,Japan: Kansai,22500000,39288,920,,883980000000,17
33,"Japan: Hokkaidō, Tōhoku",14310000,35687,915,,510680970000,16
34,"Japan: Chūgoku, Shikoku, Kyūshū",25600000,35285,900,,903296000000,16
35,"Korea, South",51392565,31363,906,,1611825016095,15
36,"Italy: North-West,  North-East",27723837,37349,905,,1035457588113,16
37,"Spain: Balearic Islands, Basque Country, Catalonia, La Rioja, Navarre, Valencian Community",16854993,33729,905,,568502058897,16
38,"Spain: Asturias, Canary Islands, Cantabria, Castile and León, Ceuta, Community of Madrid, Galicia, Melilla",15596672,33254,910,,518651730688,15
39,Italy: Centre,12016009,33114,900,,397898122026,15
40,France: w.o. Île-de-France,52873379,36229,870,,1915549647791,16
41,Portugal,10256193,23146,850,,237389843178,15
42,Greece + Cyprus,11692371,21108,872,,246802567068,15
43,"Spain: Aragon, Andalusia, Extremadura, Region of Murcia, Castile–La Mancha",14271316,24182,865,,345108963512,15
44,Italy: South + Islands,20597424,20384,865,,419857890816,14
45,Germany: Eastern,12443000,38844,915,,483335892000,16
46,Russia: Moscow Region,20000000,20500,870,,410000000000,15
47,"Poland: Masovian, Łódź, Greater Poland",11353020,19967,900,,226685750340,14
48,Czech Republic + Slovakia,16118691,21814,880,,351613125474,15
49,"Baltia: Estonia, Lithuania, Latvia",6052643,19610,865,,118692329230,14
50,"Slovenia, Hungary, Croatia",15941741,17002,870,,271041480482,14
51,"Poland: Lower Silesian, Opole, Silesian, Lesser Poland",11824831,15341,872,,181404732371,13
52,Russia: Northwest,13977274,12924,834,,180642289176,13
53,Romania,19506114,12301,816,,239944708314,12
54,"Poland: Warmian-Masurian, West Pomeranian, Pomeranian, Kuyavian-Pomeranian, Podlaskie, Lubusz, Lublin, Subcarpathian, Holy Cross",15235087,11948,845,,182028819476,12
55,Kazakhstan,18319618,9331,817,,170940355558,11
56,Belarus,9452617,6530,817,,61725589010,7
57,Bulgaria,7051608,9273,816,,65389560984,11
58,"Turkey: Big Istambul - Balıkesir, Bilecik, Bursa, Çanakkale, Edirne, Istanbul, Kırklareli, Kocaeli, Sakarya, Tekirdağ, , ",24816772,13900,840,,344953130800,13
59,Saudi Arabia,33702756,23219,857,,782544291564,15
